ident,name,type,latitude,longitude,country code,airport
CDC,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,VORTAC,38.75583,16.36917,,
CDC,Caraffa,VORTAC,38.7559,16.3691,IT,
CDD,Drewitz,DME,51.887,14.532,DE,DE-0875
CDE,Ciudad Del Este,NDB,-25.4792,-54.8658,PY,SGES
CDN,Ch̢teaudun,NDB,48.0624,1.36364,FR,LFOC
CDO,Condobolin,NDB,-33.0703,147.216,AU,YCDO
CDO,Caicara Del Orinoco,VOR-DME,7.62833,-66.1578,VE,SVCD
CDO,Caicara Del Orinoco,NDB,7.63083,-66.1695,VE,SVCD
CDO,Punta Caucedo,VOR-DME,18.4329,-69.6673,DO,MDSD
CDP,Capdepera,VOR-DME,39.6977,3.43437,ES,
CDP,ESPORTFRA,VORDME,39.69778,3.43444,,
CDR,Concepcion,VOR-DME,24.1597,-101.488,MX,
CDT,Condoto,NDB,5.07389,-76.6761,CO,SKCD
CDU,Ceduna,NDB,-32.1267,133.727,AU,YCDU
CE,Concepcion,NDB,-36.8575,-73.1139,CL,SCIE
CE,Caledonian,NDB,3.29508,101.452,MY,WMSA
CE,Cepin,NDB,45.5284,18.56,HR,LDOC
CE,Maksimkin Yar,NDB,58.6333,86.7333,RU,
CEA,Kolkata,VOR-DME,22.6452,88.4529,IN,VECC
CEK,Cekmece,NDB,41.0058,28.5281,TR,
CEL,Celle,NDB,52.5897,10.0295,DE,ETHC
CEN,Cencun,VOR-DME,23.15,113.417,CN,ZGGG
CEN,Obregon,VOR-DME,27.3948,-109.837,MX,MMCN
CEU,Ceuta,NDB-DME,35.8926,-5.30544,ES,GECE
CEV,Cervia,TACAN,44.2065,12.3572,IT,LIPC
CEV,Cervia,NDB,44.2677,12.1801,IT,LIPC
CF,Cafunfo,NDB,-8.76667,18.0,AO,
CF,Makoua,VOR,-0.0215,15.5792,CG,
CF,Caslav,NDB,49.904,15.4329,CZ,LKCV
CFA,Clermont,VOR-DME,45.7875,3.19219,FR,LFLC
CFA,LFFRASW,VORDME,45.7875,3.19222,,
CFD,Cranfield,VOR,52.0742,-0.61079,GB,EGTC
CFL,Calama,NDB,-22.4936,-68.9031,CL,SCCF
CFM,Capitan Fuentes Martinez,NDB,-53.2467,-70.3522,CL,SCFM
CFN,Donegal,NDB,55.044,-8.33928,IE,EIDL
CG,Coolangatta,VOR-DME,-28.1689,153.504,AU,YBCG
CG,Coolangatta,NDB,-28.1649,153.50101,AU,YBCG
CG,Chandigarh,NDB,30.6665,76.7988,IN,VICG
CG,Kulyab,NDB,37.9417,69.79,TJ,UTDK
CG,Tianjin,NDB,39.0733,117.378,CN,ZBTJ
CG,Castlegar,NDB,49.4472,-117.575,CA,CYCG
CG,Arlanda,NDB,59.5389,17.9209,SE,ESSA
CGC,Cognac,TACAN,45.6615,-0.30786,FR,LFBG
CGC,Cognac,NDB,45.6693,-0.30619,FR,LFBG
CGM,Chiang Mai,NDB,18.7598,98.9672,TH,VTCC
CGN,Charles de Gaulle,VOR-DME,49.0199,2.50011,FR,LFPG
CGO,Congonhas,VOR-DME,-23.6275,-46.6547,BR,SBSP
CGO,Cagayan De Oro,VOR-DME,8.41569,124.609,PH,RPML
CGO,Zhengzhou,VOR-DME,34.515,113.843,CN,ZHCC
CGR,Campo Grande,NDB,-20.5307,-54.7327,BR,SBCG
CGR,Campo Grande,VOR-DME,-20.4688,-54.6703,BR,SBCG
CGS,Cagnes Sur Mer,VOR-DME,43.6452,7.14592,FR,LFMN
CGY,Coningsby,TACAN,53.091,-0.16897,GB,EGXC
CH,Christchurch,VOR-DME,-43.5041,172.515,NZ,NZCH
CH,Cookhouse,NDB,-32.7556,25.7819,ZA,
CH,Coffs Harbour,VOR-DME,-30.3192,153.116,AU,YCFS
CH,Coffs Harbour,NDB,-30.3122,153.117,AU,YCFS
CH,Chimoio,NDB,-19.1044,33.4334,MZ,FQCH
CH,Cocho,NDB,-15.8608,-47.8853,BR,SBBR
CH,Chitato,NDB,-7.4,20.8167,AO,FNDU
CH,Cheung Chau,VOR-DME,22.2195,114.03,HK,VHHH
CH,Chitose,NDB,42.6688,141.67999,JP,RJCJ
CH,Vladikavkaz,NDB,43.215,44.5383,RU,URMO
CH,Cherniakhiv,NDB,50.4564,28.6915,UA,
CH,Schiphol,NDB,52.2206,4.5576,NL,
CH,Christianshaab,NDB,68.825,-51.2083,GL,
CHA,Charlie,VOR,49.9211,9.03981,DE,DE-0881
CHB,China Bay,NDB,8.53356,81.1853,LK,VCCT
CHE,Chena,NDB,-33.5853,-70.7737,CL,
CHE,Alonso Valderrama,NDB,7.98352,-80.41,PA,MPCE
CHE,Cherchell,NDB,36.6014,2.19333,DZ,
CHE,Chitose,VOR-DME,42.6999,141.686,JP,RJCJ
CHG,Chandigarh,VOR-DME,30.6676,76.8057,IN,VICG
CHG,Chaoyang,VOR-DME,41.5367,120.433,CN,ZYCY
CHI,Chillan,NDB,-36.5889,-72.0292,CL,SCCH
CHI,Chillan,VOR-DME,-36.5831,-72.0358,CL,SCCH
CHI,Los Chiles,NDB,11.0383,-84.71,CR,MRLC
CHI,Chiayi,TACAN,23.4649,120.391,TW,RCKU
CHI,Chillerki,VOR-DME,28.3476,76.666,IN,
CHI,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,VORDME,45.07111,12.28139,,
CHI,Chioggia,VOR-DME,45.0712,12.2814,IT,
CHI,Chioggia,NDB,45.0718,12.2814,IT,
CHJ,Cheongju,TACAN,36.7093,127.497,KR,RKTU
CHM,Chiang Mai,TACAN,18.7712,98.9668,TH,VTCC
CHN,Chisinau,VOR-DME,46.9264,28.8992,MD,LUKK
CHO,Cheongju,VOR-DME,36.7178,127.494,KR,RKTU
CHO,Chociwel,NDB,53.4753,15.333,PL,
CHP,San Martin De Los Andes,NDB,-40.0817,-71.1472,AR,SAZY
CHP,San Martin De Los Andes,VOR-DME,-40.0489,-71.0953,AR,SAZY
CHT,Chiltern,NDB,51.6231,-0.51833,GB,EGWU
CHW,Jiayuguan,VOR-DME,39.85,98.35,CN,
CHW,Chartres,VOR-DME,48.48,0.98706,FR,
CHX,Choix,NDB,26.7164,-108.33,MX,
CI,Chatham Islands,NDB,-43.957,-176.56599,NZ,NZCI
CI,Cochin Intl,NDB,10.1494,76.4842,IN,VOCI
CI,Chichijima,NDB,27.0892,142.214,JP,
CIA,Cuiaba,VOR-DME,-15.6562,-56.112,BR,SBCY
CIA,Cuiaba,NDB,-15.655,-56.1202,BR,SBCY
CIA,Cochin Intl,VOR-DME,10.1505,76.3726,IN,VOCI
CIA,Clark,VOR-DME,15.1869,120.561,PH,RPLC
CIA,Clark,NDB,15.2094,120.571,PH,RPLC
CIA,Ciampino,NDB,41.8649,12.5608,IT,LIRA
CIB,Cochin Intl,VOR-DME,10.1153,76.6817,IN,VOCI
CIG,Cigli,TACAN,38.4949,27.0091,TR,LTBL
CIG,Cigli,NDB,38.5308,27.0172,TR,LTFA
CIJ,Cobija,NDB,-11.0412,-68.7816,BO,SLCO
CIL,Cocos (Keeling) Island,NDB,-12.1707,96.8212,CC,YPCC
CIN,Curtin,VOR-DME,-17.5886,123.852,AU,YCIN
CIN,Curtin,NDB,-17.5742,123.831,AU,YCIN
CIV,Chi̬vres,TACAN,50.5723,3.82183,BE,EBCV
CIV,MUAC FRA,VOR,50.57389,3.83278,,
CIV,Chi̬vres,VOR,50.5739,3.83278,BE,EBCV
CJ,Jianqiao,NDB,30.3017,120.163,CN,ZSHC
CJN,Cerrejon,VOR-DME,11.2312,-72.4929,CO,SKLM
CJN,Cerrejon,NDB,11.2325,-72.5068,CO,SKLM
CJN,ESPORTFRA,VORDME,40.37194,-2.54472,,
CJN,Castejon,VOR-DME,40.372,-2.54461,ES,
CJS,Juarez,VOR-DME,31.6362,-106.427,MX,MMCS
CJU,Jeju,VORTAC,33.3847,126.624,KR,RKPC
CK,Prerov,NDB,49.4071,17.3392,CZ,LKPO
CK,Cherkasy,NDB,49.4564,31.9599,UA,UKKE
CKG,Cengkareng,VOR-DME,-6.18789,106.53,ID,WIII
CKG,Chongqing,VOR-DME,29.7217,106.643,CN,ZUCK
CKL,Clackline,NDB,-31.6842,116.562,AU,
CKN,Cooktown,NDB,-15.4817,145.248,AU,YCKN
CL,Carolina,NDB,-26.0919,30.0964,ZA,FACL
CL,Chileka,NDB,-15.6819,34.9581,MW,FWCL
CL,Calicut,NDB,11.1427,75.9478,IN,VOCL
CL,Camly,NDB,11.9467,108.414,VN,
CL,Charlo,NDB,48.0089,-66.4369,CA,CYCL
CLA,Chiclayo,VOR-DME,-6.71722,-79.8192,PE,SPHI
CLC,Calicut,VOR-DME,11.1351,75.9548,IN,VOCL
CLD,Caldera,NDB,-27.0769,-70.8186,CL,SCCL
CLD,FRATURK,VORDME,37.81472,27.89639,,
CLE,Calella,VOR-DME,41.64,2.63467,ES,
CLJ,Cluj,VOR-DME,46.8001,23.7873,RO,LRCL
CLM,Coulommiers,VOR-DME,48.8446,3.01386,FR,LFPK
CLM,LFFRANE,VORDME,48.84472,3.01389,,
CLN,Clacton,VOR-DME,51.8484,1.14761,GB,
CLO,Cali,VOR-DME,3.40194,-76.4056,CO,SKCL
CLP,Cilacap,VOR-DME,-7.64753,109.036,ID,WAHL
CLR,Colmar,TACAN,47.9293,7.39997,FR,FR-1239
CLS,Calles,VOR-DME,39.7072,-0.98632,ES,
CLS,ESPORTFRA,VORDME,39.70722,-0.98639,,
CLU,Corlu,TACAN,41.1319,27.9017,TR,LTBU
CM,Comilla,NDB,23.4362,91.1877,BD,VGCM
CM,Caumont,NDB,43.9083,4.90536,FR,LFMV
CMA,Canaima,VOR-DME,6.19972,-62.8503,VE,SVCN
CMA,Chiang Mai,VOR-DME,18.7661,98.9613,TH,VTCC
CMA,ESPORTFRA,VORDME,40.86722,-1.29806,,
CMA,Calamocha,VOR-DME,40.8673,-1.29805,ES,
CMB,LFFRANE,VORDME,50.22806,3.15139,,
CMB,Cambrai,VORTAC,50.2281,3.1515,FR,FR-1238
CME,Carmen,VOR-DME,18.6537,-91.8051,MX,MMCE
CML,Comilla,VOR,23.4338,91.1901,BD,VGCM
CML,Clonmel,NDB,52.4538,-7.48007,IE,
CMO,Camogli,NDB,44.3458,9.17111,IT,
CMP,Chum Phae,VOR-DME,16.6365,101.985,TH,
CMP,Campagnano,VOR-DME,42.1238,12.3815,IT,
CMP,Campagnano,NDB,42.125,12.3804,IT,
CMT,Clermont,NDB,-22.7731,147.625,AU,YCMT
CMT,Comitan,VOR-DME,16.1781,-92.0575,MX,MMCO
CMU,Cunnamulla,VOR,-28.0388,145.62399,AU,YCMU
CMU,Cunnamulla,NDB,-28.0348,145.62399,AU,YCMU
CMW,Camooweal,NDB,-19.9147,138.117,AU,YCMW
CN,Camden,NDB,-34.0386,150.692,AU,YSCN
CN,Canivete,NDB,0.50917,-50.4148,BR,
CN,Carnicobar,NDB,9.15206,92.8323,IN,VOCX
CN,Chernivtsi,NDB,48.298,25.9483,UA,UKLN
CN,Piestany,NDB,48.5708,17.8084,SK,
CN,Irkutsk,NDB,52.285,104.327,RU,UIII
CNA,Carolina,NDB,-7.323,-47.46,BR,SBCI
CNA,Carolina,VOR,-7.31873,-47.4548,BR,SBCI
CNA,LFFRASW,VORDME,45.65944,-0.31167,,
CNA,Cognac,VOR-DME,45.6596,-0.31164,FR,LFBG
CNB,Cana Brava,NDB,-13.5437,-48.1948,BR,SBMC
CND,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,VORDME,44.28556,28.47833,,
CND,Constanta,VOR-DME,44.2945,28.4795,RO,LRCK
CNE,Constantine,NDB,36.1903,6.72718,DZ,DABC
CNE,Caen,NDB,49.1157,-0.32125,FR,LFRK
CNF,Confins,VOR-DME,-19.5582,-44.0485,BR,SBCF
CNK,FRATURK,VORDME,40.13444,26.42667,,
CNK,Canakkale,VOR-DME,40.1408,26.4325,TR,LTBH
CNL,Bandaranaike,NDB,7.26859,79.9509,LK,VCBI
CNL,Kenitra,NDB,34.2872,-6.62056,MA,GMMY
CNM,Coonamble,NDB,-30.9744,148.38,AU,YCNM
CNM,Cannes,VOR,43.5604,6.87094,FR,LFMD
CNR,Colmenar,VOR-DME,40.646,-3.73584,ES,
CNU,Oujda,NDB,34.7997,-1.89972,MA,GMFO
CNY,Century Mine,NDB,-18.7539,138.703,AU,YCNY
CNZ,Marrakech,NDB,31.6006,-7.96444,MA,GMMX
CO,Cotonou,NDB,6.37081,2.4025,BJ,DBBB
CO,Cooch Behar,NDB,26.3304,89.4824,IN,VECO
CO,Turkmenbashi,NDB,40.1086,52.9936,TM,UTAK
CO,Mogilev,NDB,53.9267,30.145,BY,UMOO
COA,Canoas,VOR-DME,-29.9503,-51.1458,BR,SBCO
COA,La Coruna,NDB,43.3654,-8.32826,ES,LECO
COA,Costa,VOR-DME,51.3481,3.35528,BE,
COC,Coca,NDB,-0.4475,-76.9944,EC,SECO
COD,Codogno,NDB,45.2263,9.54117,IT,
COE,Coen,NDB,-13.7661,143.117,AU,YCOE
COE,Coetivy,NDB,-7.14611,56.2783,SC,FSSC
COL,Colonia,NDB,-34.4539,-57.7701,UY,SUCA
COL,Barra Del Colorado,NDB,10.7533,-83.5833,CR,MRBC
COL,Colima,VOR-DME,19.2751,-103.579,MX,MMIA
COL,Cola,VORTAC,50.7835,7.59419,DE,EDDK
COM,Cooma,NDB-DME,-36.3538,148.95799,AU,YCOM
COM,Comandatuba,NDB,-15.3608,-39.0013,BR,SBTC
COM,Compt0n Abbas,NDB,50.9662,-2.15517,GB,EGHA
CON,Concepcion,NDB,-23.4384,-57.4306,PY,SGCO
CON,Conghua,VOR-DME,23.5883,113.585,CN,ZGGG
CON,Connaught,VOR-DME,53.908,-8.8201,IE,EIKN
COP,Coposa,NDB,-20.7439,-68.6894,CL,SCKP
COR,Corowa,NDB,-35.9875,146.35699,AU,YCOR
COR,Carora,VOR-DME,10.1792,-70.0654,VE,VE-0223
COR,Carora,NDB,10.1803,-70.065,VE,VE-0223
COR,Cordoba,NDB,37.8427,-4.84681,ES,LEBA
COR,Corner,NDB,59.2614,17.4841,SE,
COT,Cotabato,VOR-DME,7.16548,124.21,PH,RPMC
COT,Coto 47,NDB,8.60278,-82.9681,CR,MRCC
COV,Covilha,NDB,40.2992,-7.42583,PT,
COY,St Croix,VOR-DME,17.7344,-64.7007,VI,TISX
CP,Charles Prince,NDB,-17.7514,30.9266,ZW,FVCP
CP,Chipata,NDB,-13.5648,32.5833,ZM,FLCP
CP,Cilacap,NDB,-7.64242,109.035,ID,WAHL
CP,Camopi,NDB,3.17125,-52.3345,GF,
CP,Chumphon,NDB,10.7178,99.3661,TH,VTSE
CP,Caparica,NDB,38.6423,-9.22152,PT,LPPT
CP,Parduc,NDB,47.3202,17.5253,HU,LHPA
CP,Brest,NDB,52.1267,23.83,BY,UMBB
CP,Magnitogorsk,NDB,53.44,58.78,RU,USCM
CP,Constable Pynt,NDB,70.7403,-22.6208,GL,BGCO
CPE,Campeche,VOR-DME,19.8308,-90.5039,MX,MMCP
CPE,Compi̬gne,VOR-DME,49.4328,2.79936,FR,LFAD
CPG,Campina Grande,NDB,-7.26601,-35.8927,BR,SBKG
CPN,Campinas,VOR-DME,-23.0087,-47.129,BR,SBKP
CPN,Chumphon,VOR-DME,10.7112,99.3656,TH,VTSE
CPO,Campos,NDB,-21.6973,-41.3067,BR,SBCP
CPT,Compton,VOR-DME,51.4917,-1.21972,GB,
CQ,Chu Lai,NDB,15.4123,108.704,VN,
CR,Rusumo,NDB,-2.26908,30.7174,RW,
CR,Calabar,NDB,4.96792,8.3473,NG,DNCA
CR,Cam Ranh,NDB,12.0002,109.216,VN,VVCR
CR,Uiju,NDB,40.2074,124.553,KP,
CR,Chernivtsi,NDB,48.213,26.0149,UA,UKLN
CR,Cheboksary,NDB,56.105,47.4283,RU,UWKS
CRA,Cam Ranh,VOR-DME,11.9944,109.22,VN,VVCR
CRC,Coroico,NDB,-16.1952,-67.721,BO,
CRD,Cardak,TACAN,37.7792,29.6922,TR,LTAY
CRD,Cardak,VOR-DME,37.7897,29.7042,TR,LTAY
CRD,FRATURK,VORDME,37.79,29.70417,,
CRE,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,NDB,44.90278,14.41667,,
CRE,Cres,NDB,44.9029,14.4165,HR,LDPL
CRG,Corryong,NDB,-36.1485,147.862,AU,YCRG
CRG,Carimauga,NDB,4.57111,-71.3361,CO,
CRJ,Carajas,VOR-DME,-6.11933,-50.0022,BR,SBCJ
CRJ,Carajas,NDB,-6.11133,-50.004,BR,SBCJ
CRK,Cork,VOR-DME,51.8406,-8.49427,IE,EICK
CRL,FRATURK,VORDME,41.15083,27.935,,
CRL,Corlu,VOR-DME,41.1522,27.9383,TR,LTBU
CRL,Creil,VORTAC,49.2553,2.51478,FR,LFPC
CRM,Carsamba,VOR-DME,41.2655,36.5489,TR,LTFH
CRM,Carsamba,NDB,41.2655,36.549,TR,LTFH
CRM,FRATURK,VORDME,41.26556,36.54889,,
CRN,Crotone,VOR-DME,38.9961,17.0831,IT,LIBC
CRN,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,VORDME,38.99611,17.08306,,
CRN,Galway,NDB,53.2994,-8.94088,IE,EICM
CRO,Coro,VOR-DME,11.4142,-69.6923,VE,SVCR
CRR,Carrasco,VOR-DME,-34.8327,-56.0251,UY,SUMU
CRR,Corrientes,VOR-DME,-27.4372,-58.7617,AR,SARC
CRS,Caransebes,NDB,45.4429,22.1633,RO,LRCS
CRT,Curitiba,NDB,-25.5232,-49.1715,BR,SBCT
CRV,Comodoro Rivadavia,VOR-DME,-45.7733,-67.3717,AR,SAVC
CRV,Craiova,VOR-DME,44.3186,23.9228,RO,LRCV
CRV,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,VORDME,44.31861,23.92278,,
CRY,Criciuma,NDB,-28.7213,-49.4221,BR,SBCM
CS,Cairns,VOR-DME,-16.85,145.744,AU,YBCS
CS,Cairns,NDB,-16.8469,145.73599,AU,YBCS
CS,Conson,NDB,8.72972,106.632,VN,VVCS
CS,Osa,NDB,53.3833,103.867,RU,
CSD,Daouarat,NDB,32.9336,-8.065,MA,
CSL,Caselle,VOR-DME,45.2197,7.64957,IT,LIMF
CSM,Castelsarrasin Moissac,NDB,44.0871,1.13078,FR,LFCX
CSO,Constantine,VOR-DME,36.2926,6.60555,DZ,DABC
CST,Costix,NDB,39.6414,2.91562,ES,
CSV,Collinsville,VOR,-20.5914,147.785,AU,YCSV
CSX,Changsha,VOR-DME,28.2033,113.217,CN,ZGHA
CT,Can Tho,NDB,10.0914,105.73,VN,VVCT
CT,Cartagena,NDB,10.3967,-75.5308,CO,SKCG
CT,Caticlan,NDB,11.925,121.958,PH,RPVE
CT,Chiang Rai,NDB,19.9597,99.8831,TH,VTCT
CTB,Curitiba,VOR-DME,-25.532,-49.1677,BR,SBCT
CTE,Castejon,NDB,40.3839,-2.5228,ES,
CTF,Catania Fontanarossa,NDB,37.4636,15.0626,IT,LICC
CTF,Catania Fontanarossa,VOR-DME,37.4644,15.0625,IT,LICC
CTF,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,VORDME,37.46444,15.06222,,
CTG,Cartagena,VOR-DME,10.2092,-75.5067,CO,SKCG
CTG,Chittagong,VOR-DME,22.2577,91.8275,BD,VGEG
CTL,Punta Castilla,NDB,16.0072,-85.9739,HN,MHTJ
CTL,Ch̢tillon-sur-Marne,VOR-DME,49.1377,3.57769,FR,
CTL,LFFRANE,DME,49.13778,3.57778,,
CTM,Cootamundra,NDB,-34.6274,148.03101,AU,YCTM
CTM,Chetumal,VOR-DME,18.5093,-88.3337,MX,MMCM
CTM,Cottesmore,TACAN,52.7354,-0.65077,GB,GB-1224
CTN,Constitucion,NDB,-35.3056,-72.3794,CL,
CTN,El Canton,VOR-DME,7.51667,-71.4459,VE,
CTP,FRATURK,NDB,40.7375,30.07139,,
CTR,Chiang Rai,VOR-DME,19.9482,99.8834,TH,VTCT
CTU,Shuangliu,VOR-DME,30.575,103.943,CN,ZUUU
CTV,Cape Town,VORTAC,-33.9695,18.605,ZA,FACT
CTX,Ch̢teauroux,NDB,46.9366,1.80114,FR,LFLX
CU,Cepu,NDB,-7.19451,111.548,ID,WARC
CU,Cucuta,NDB,8.03694,-72.5797,CO,SKCC
CU,Otsu,NDB,35.0503,135.871,JP,
CU,Shahe,NDB,40.125,116.37,CN,
CUA,Cudal,NDB,-33.2761,148.767,AU,
CUA,Carauari,NDB,-4.87067,-66.8872,BR,
CUA,Cuautla,VOR-DME,18.7853,-98.9008,MX,
CUB,Corumba,NDB,-19.0167,-57.6633,BR,SBCR
CUC,Cucuta,VOR-DME,7.93346,-72.5135,CO,SKCC
CUE,Otsu,VOR-DME,35.017,135.826,JP,
CUL,Culiacan,VOR-DME,24.7644,-107.477,MX,MMCL
CUM,Cumana,VOR-DME,10.4473,-64.1381,VE,SVCU
CUN,Cunderdin,NDB,-31.625,117.224,AU,YCUN
CUN,Cancun,VOR-DME,21.0251,-86.8587,MX,MMUN
CUN,Yecheon,VOR-DME,36.632,128.325,KR,RKTY
CUP,Carupano,NDB,10.6603,-63.2576,VE,SVCP
CUR,Cuenca,NDB,-2.8625,-78.9486,EC,SECU
CUU,Chihuahua,VOR-DME,28.799,-105.952,MX,MMCU
CUV,Cuenca,VOR-DME,-2.835,-78.9169,EC,SECU
CUW,Chihuahua,NDB,28.5835,-105.993,MX,MMCU
CUY,Cauayan,VOR-DME,16.9316,121.748,PH,RPUY
CV,Charleville,VOR,-26.4211,146.26601,AU,YBCV
CV,Charleville,NDB,-26.42,146.24899,AU,YBCV
CV,Cuito Cuanavale,NDB,-15.1667,19.15,AO,FNCV
CV,Syrdarya,NDB,40.8167,68.6833,UZ,
CV,Calvi,NDB,42.577,8.80658,FR,LFKC
CV,Dubrovnik,NDB,42.5852,18.2126,HR,LDDU
CVA,Corvatsch,DME,46.4181,9.82167,CH,
CVC,Choshi,VORTAC,35.7265,140.799,JP,
CVJ,Cuernavaca,VOR-DME,18.825,-99.27,MX,MMCB
CVL,Caravelas,NDB,-17.6542,-39.2498,BR,SBCV
CVL,Caravelas,VOR,-17.6485,-39.2557,BR,SBCV
CVM,Caversham,NDB,-31.8783,115.981,AU,YPPH
CVM,Victoria,VOR-DME,23.7055,-98.959,MX,MMCV
CVO,Cairo,VOR-DME,30.0923,31.3884,EG,HECA
CVS,Sal,VOR-DME,16.7368,-22.951,CV,GVAC
CVT,Cuatro Vientos,NDB,40.3678,-3.77341,ES,
CW,Clanwilliam,NDB,-32.1831,18.8886,ZA,FACW
CW,St Laurent Du Maroni,NDB,5.46794,-54.0315,GF,
CW,Seongmu,NDB,36.5649,127.497,KR,RKTE
CW,Krasnaya Gorbatka,NDB,55.8667,41.7667,RU,
CWL,Cranwell,NDB,53.0263,-0.48898,GB,EGYD
CWR,Cowra,VOR,-33.8479,148.646,AU,YCWR
CWR,Cowra,NDB,-33.8449,148.653,AU,YCWR
CWS,Cowes,NDB,-38.517,145.22099,AU,
CWS,Cowes,VOR,-38.5078,145.214,AU,
CWZ,Cranwell,TACAN,53.0286,-0.4855,GB,EGYD
CXB,Cachimbo,NDB,-9.33956,-54.9659,BR,SBCC
CXB,Cachimbo,VOR-DME,-9.33515,-54.9678,BR,SBCC
CXM,Coxim,NDB,-18.5038,-54.7505,BR,SSCI
CXS,Do Sul,VOR-DME,-29.198,-51.1887,BR,SBCX
CXS,Do Sul,NDB,-29.144,-51.2342,BR,SBCX
CY,Conakry,NDB,9.58952,-13.5967,GN,GUCY
CY,Chervonyi,NDB,50.0681,31.3899,UA,
CY,UKNESFRA,NDB,50.06833,31.39222,,
CYR,Cayenne,VOR-DME,4.81364,-52.3684,GF,SOCA
CZ,Buffalo Range,NDB,-20.9639,31.522,ZW,FVCZ
CZ,Tonglu,NDB,29.8,119.667,CN,
CZ,Vilyuysk,NDB,63.7433,121.783,RU,
CZA,Kaua,VOR-DME,20.6431,-88.4482,MX,MMCT
CZE,Czempin,VOR-DME,52.1306,16.7271,PL,
CZE,Czempin,NDB,52.1364,16.7288,PL,
CZH,Chongzhou,VOR-DME,30.6483,103.687,CN,
CZM,Cozumel,NDB,20.5219,-86.9339,MX,MMCZ
CZM,Cozumel,VOR-DME,20.5221,-86.9293,MX,MMCZ
CZO,Calabozo,VOR-DME,8.92669,-67.4092,VE,SVCL
CZO,Calabozo,NDB,8.93003,-67.4148,VE,SVCL
CZS,Cruzeiro Do Sul,VOR-DME,-7.60683,-72.7735,BR,SBCZ
CZS,Cruzeiro Do Sul,NDB,-7.59455,-72.7714,BR,SBCZ
D,Tandil,NDB,-37.2083,-59.2267,AR,
D,El Plumerillo,NDB,-32.8549,-68.7926,AR,
D,Comodoro Pierrestegui,NDB,-31.2817,-57.9883,AR,
D,Santiago Del Estero,NDB,-27.785,-64.3217,AR,
D,Danang,NDB,16.0171,108.204,VN,VVDN
D,Gerona,NDB,21.8217,-82.7993,CU,
D,Inner Beacon,NDB,30.8983,29.7125,EG,
D,Deveselu,NDB,44.0847,24.3861,RO,RO-0107
D,Odesa,NDB,46.4469,30.6675,UA,
D,Tokol,NDB,47.3295,19.0011,HU,LHTL
D,David,NDB,48.1864,17.2362,SK,
D,Line,NDB,49.6831,13.2942,CZ,LKLN
D,Dejvice,NDB,50.0853,14.2924,CZ,
D1,Great Bear Lake,NDB,66.7089,-119.672,CA,CFF4
D3,Ponoka Indus,NDB,52.6833,-113.606,CA,CEH3
D4,Rocanville,NDB,50.465,-101.552,CA,CKH2
D5,Melfort,NDB,52.8714,-104.806,CA,CJZ3
D5,Mcarthur River,NDB,57.7692,-105.02,CA,CKQ8
D6,Fairmont Hot Springs,NDB-DME,50.3269,-115.877,CA,CYCZ
D7,Kincardine,NDB,44.2034,-81.6032,CA,CYKM
D8,Dolbeau,NDB,48.7837,-72.4679,CA,CYDO
DA,Calcanhar,NDB,-5.16117,-35.4865,BR,
DA,Daloa,NDB,6.88347,-6.4664,CI,DIDL
DA,Hebaohu,NDB,30.6983,113.973,CN,
DA,Zhalal Abad,NDB,40.9433,72.9817,KG,
DA,Gali,NDB,42.6,41.7833,GE,
DA,Ales,NDB,44.0664,4.14231,FR,LFMS
DA,Deveselu West,NDB,44.09,24.3494,RO,RO-0107
DA,Ulaanbaatar,NDB,47.879,106.719,MN,ZMUB
DA,Dalen,NDB,59.2619,10.257,NO,
DA,Dawson City,NDB,64.0289,-139.168,CA,CYDA
DA,Dalatangi,NDB,65.27,-13.5761,IS,
DA,Kulusuk,NDB,65.5706,-37.2069,GL,BGKK
DAC,Dhaka,VOR-DME,23.8247,90.4126,BD,VGHS
DAD,Diadema,NDB,-23.7057,-46.6013,BR,SBSP
DAK,Dakovica,TACAN,42.43,20.4317,RS,
DAK,Dakovica,NDB,45.4208,20.4275,RS,
DAL,Otaebe,NDB,33.4875,36.6017,SY,OSDI
DAL,Dalaman,VOR-DME,36.6896,28.7819,TR,LTBS
DAL,FRATURK,VORDME,36.68972,28.78222,,
DAL,Dalaman,TACAN,36.7128,28.7889,TR,LTBS
DAM,Damascus,VOR-DME,33.3649,36.4686,SY,OSDI
DAN,Danang,VOR-DME,16.0528,108.198,VN,VVDN
DAN,Incirlik,TACAN,37.0156,35.448,TR,LTAG
DAN,Podgorica,NDB,42.545,19.1235,RS,LYPG
DAO,Davao,VOR-DME,7.13124,125.654,PH,RPMD
DAO,Davao,NDB,7.13715,125.65,PH,RPMD
DAP,Dublin,VOR-DME,53.4236,-6.30278,IE,EIDW
