ident,name,type,latitude,longitude,country code,airport
9Y,Pincher Creek,NDB,49.5233,-113.999,CA,CZPC
9Z,Westlock,NDB-DME,54.1431,-113.748,CA,CES4
A,Ministro Pistarini,NDB,-34.8416,-58.5224,AR,
A,Reconquista,NDB,-29.211,-59.7076,AR,
A,Tartagal,NDB,-22.6359,-63.7957,AR,
A,Habana,NDB,22.9738,-82.4322,CU,
A,Almaza,NDB,30.074,31.3594,EG,HEAZ
A,Baku/Bina,NDB,40.445,50.0633,AZ,
A,Almaty,NDB,43.3686,77.0739,KZ,
A,Baneasa East,NDB,44.5103,26.1369,RO,
A,Opera,NDB,47.1067,20.2267,HU,LHSN
A,Budapest,NDB,47.455,19.2105,HU,
A,Zaporizhzhia,NDB,47.847,35.3028,UA,
A,Kharkiv,NDB,49.9243,36.3197,UA,UKHH
A,Sheremetyevo,NDB,55.98,37.4617,RU,UUEE
A1,Taltheilei Narrows,NDB,62.5947,-111.519,CA,CFA7
A5,Chinchaga,NDB,57.545,-119.111,CA,CA-1022
A9,Liverpool,NDB,44.227,-64.8585,CA,CYAU
AA,Auckland,VOR-DME,-37.0046,174.814,NZ,NZAA
AA,Anaa,NDB,-17.3556,-145.48199,PF,NTGA
AA,Atambua,NDB,-9.07444,124.905,ID,
AA,Abemama,NDB,0.5,173.85001,KI,NGTB
AA,Accra,NDB,5.67617,-0.13803,GH,DGAA
AA,Aioun El Atrouss,NDB,16.6921,-9.60038,MR,GQNA
AA,Aliabad,NDB,35.6337,51.4178,IR,
AA,Madrid,NDB,40.4482,-3.53881,ES,
AA,Aasiaat,NDB,68.7232,-52.7848,GL,BGAA
AAE,Ahmedabad,VOR-DME,23.0722,72.625,IN,VAAH
AAL,BOREALIS FRA,VORTAC,57.10361,9.99556,,
AAL,Aalborg,VOR-DME,57.1037,9.99558,DK,EKYT
AAL,Aalborg,TACAN,57.1039,9.99281,DK,EKYT
AAQ,Araraquara,NDB,-21.813,-48.1395,BR,SBAQ
AAR,Arar,VORTAC,30.908,41.1422,SA,OERR
AAR,Amritsar,VOR-DME,31.7069,74.8008,IN,VIAR
AAT,Agartala,VOR-DME,23.8896,91.2397,IN,VEAT
